mileage,make,model,fuel,gear,offerType,price,hp,year
87353,kia,niro,Electric/Gasoline,Automatic,Used,16479,141,2018
1512,renault,zoe,Electric,Automatic,Used,15400,69,2019
2901,renault,zoe,Electric,Automatic,Used,15400,69,2020
11601,nissan,e-nv200,Electric,Automatic,Used,17490,109,2015
57890,audi,a3,Electric/Gasoline,Automatic,Used,19980,150,2016
54074,toyota,auris,Electric/Gasoline,Automatic,Used,15450,136,2017
21074,audi,a3,Electric/Gasoline,Automatic,Used,17440,204,2017
5,suzuki,vitara,Electric/Gasoline,Manual,Pre-registered,19695,129,2020
5,suzuki,vitara,Electric/Gasoline,Manual,Pre-registered,19745,129,2020
6523,renault,zoe,Electric,Automatic,Demonstration,20562,109,2020
50,mazda,mx-30,Electric,Manual,Demonstration,21990,110,2021
33750,bmw,330,Electric/Gasoline,Automatic,Used,27939,252,2018
22466,toyota,c-hr,Electric/Gasoline,Automatic,Used,18980,122,2019
19980,toyota,corolla,Electric/Gasoline,Automatic,Used,21980,122,2020
2977,mazda,2,Electric/Gasoline,Manual,Demonstration,18400,75,2021
32155,renault,zoe,Electric,Automatic,Used,7880,88,2015
43219,toyota,c-hr,Electric/Gasoline,Automatic,Used,18700,98,2018
50714,ford,mondeo,Electric/Gasoline,Automatic,Used,19900,188,2019
18350,toyota,corolla,Electric/Gasoline,Automatic,Used,19980,122,2019
21500,toyota,c-hr,Electric/Gasoline,Automatic,Used,19990,122,2019
5100,hyundai,ioniq,Electric/Gasoline,Automatic,Demonstration,20993,141,2019
20,toyota,yaris,Electric/Gasoline,Automatic,Pre-registered,19790,116,2020
20,toyota,corolla,Electric/Gasoline,Automatic,Pre-registered,26490,184,2021
15,hyundai,ioniq,Electric/Gasoline,Automatic,Pre-registered,26880,105,2021
2574,mini,cooper s,Electric,Automatic,Demonstration,27360,184,2021
5,hyundai,kona,Electric/Gasoline,Automatic,Pre-registered,28480,141,2021
500,nissan,nv200,Electric,Automatic,Used,28490,109,2021
25,subaru,forester,Electric/Gasoline,Automatic,Pre-registered,29990,150,2020
3900,mitsubishi,outlander,Electric/Gasoline,Automatic,Demonstration,33300,135,2020
9000,volkswagen,passat,Electric/Gasoline,Automatic,Demonstration,33990,156,2020
22551,smart,forfour,Electric,Automatic,Used,9850,82,2017
19800,renault,zoe,Electric,Automatic,Used,9990,58,2018
15538,smart,fortwo,Electric,Automatic,Used,11333,82,2018
1150,renault,clio,Electric/Gasoline,Automatic,Demonstration,20680,91,2020
10,hyundai,ioniq,Electric/Gasoline,Automatic,Pre-registered,21490,105,2020
2264,renault,captur,Electric/Gasoline,Automatic,Used,24990,91,2020
1850,renault,twingo,Electric,Automatic,Demonstration,26330,42,2020
1500,volkswagen,golf,Electric/Gasoline,Automatic,Demonstration,41450,150,2021
60000,renault,zoe,Electric,Automatic,Used,5799,58,2014
16165,renault,twizy,Electric,Automatic,Used,6590,11,2015
990,nissan,leaf,Electric,Automatic,Used,25480,150,2020
10,hyundai,ioniq,Electric/Gasoline,Automatic,Pre-registered,25880,141,2020
10,hyundai,kona,Electric/Gasoline,Automatic,Pre-registered,28480,141,2020
6500,audi,e-tron,Electric,Automatic,Demonstration,103940,503,2021
1100,land,rover range rover,Electric/Gasoline,Automatic,Used,112500,404,2021
1000,land,rover range rover,Electric/Gasoline,Automatic,Pre-registered,124980,404,2021
40000,smart,fortwo,Electric,Automatic,Used,5550,48,2014
30000,renault,zoe,Electric,Automatic,Used,5995,92,2014
4700,smart,forfour,Electric,Automatic,Demonstration,13480,82,2019
14550,volkswagen,golf,Electric,Automatic,Used,23970,136,2020
350,volkswagen,golf,Electric,Automatic,Used,24870,136,2020
5400,ford,mondeo,Electric/Gasoline,Automatic,Employee's car,25790,140,2020
10,hyundai,tucson,Electric/Diesel,Automatic,Pre-registered,30990,136,2021
49000,renault,zoe,Electric,Automatic,Used,7555,58,2014
5,kia,niro,Electric/Gasoline,Automatic,Demonstration,22979,141,2021
300,opel,corsa,Electric,Automatic,Demonstration,23540,136,2021
10,ford,fiesta,Electric/Gasoline,Manual,Demonstration,23690,125,2021
10,ford,puma,Electric/Gasoline,Manual,Demonstration,23750,155,2021
68904,toyota,auris,Electric/Gasoline,Automatic,Used,11860,136,2013
40960,audi,a3,Electric/Gasoline,Automatic,Used,18333,204,2017
30369,volkswagen,golf,Electric,Automatic,Used,21899,136,2018
10,suzuki,swace,Electric/Gasoline,Automatic,Pre-registered,23965,122,2021
269,mazda,mx-30,Electric,Manual,Demonstration,24290,110,2021
14650,opel,grandland x,Electric/Gasoline,Automatic,Demonstration,34980,300,2020
18340,peugeot,508,Electric/Gasoline,Automatic,Used,36770,224,2020
100,lexus,rc 300h,Electric/Gasoline,Automatic,Demonstration,47890,223,2020
7435,lexus,rx 450h,Electric/Gasoline,Automatic,Demonstration,72990,313,2020
10100,ford,fiesta,Electric/Gasoline,Manual,Used,17650,125,2020
123000,toyota,auris,Electric/Gasoline,Automatic,Used,11000,99,2014
32483,toyota,auris,Electric/Gasoline,Automatic,Used,13850,99,2015
58000,toyota,rav 4,Electric/Gasoline,Automatic,Used,24990,155,2017
8700,bmw,i3,Electric/Gasoline,Automatic,Used,23900,170,2018
13650,bmw,i3,Electric,Automatic,Used,24500,184,2018
10650,ford,mondeo,Electric/Gasoline,Automatic,Demonstration,24569,140,2019
18458,ford,puma,Electric/Gasoline,Manual,Employee's car,21350,125,2020
8146,ford,puma,Electric/Gasoline,Manual,Employee's car,21930,125,2020
15,hyundai,ioniq,Electric/Gasoline,Automatic,Pre-registered,22493,105,2020
4800,mazda,mx-30,Electric,Automatic,Demonstration,22550,145,2020
3000,toyota,prius,Electric/Gasoline,Automatic,Demonstration,28990,122,2021
1500,fiat,500,Electric,Automatic,Demonstration,30990,58,2021
5000,opel,mokka,Electric,Automatic,Demonstration,32495,136,2021
0,fiat,500,Electric,Automatic,Demonstration,32990,0,2021
20,toyota,rav 4,Electric/Gasoline,Automatic,Pre-registered,32990,218,2021
13200,renault,twizy,Electric,Automatic,Used,4900,11,2016
10990,hyundai,ioniq,Electric/Gasoline,Automatic,Demonstration,23290,141,2019
3666,jaguar,i-pace,Electric,Automatic,Demonstration,61500,400,2020
25,hyundai,i20,Electric/Gasoline,Manual,Pre-registered,19990,101,2021
22525,smart,forfour,Electric,Automatic,Used,11333,82,2019
4440,smart,forfour,Electric,Automatic,Used,11980,82,2019
6742,smart,fortwo,Electric,Automatic,Used,12500,82,2019
11367,smart,forfour,Electric,Automatic,Used,12660,82,2019
5439,smart,fortwo,Electric,Automatic,Used,13480,82,2019
13945,smart,fortwo,Electric,Automatic,Used,13490,82,2019
69020,toyota,yaris,Electric/Gasoline,Automatic,Used,13799,101,2019
71200,toyota,yaris,Electric/Gasoline,Automatic,Used,13850,101,2019
2005,opel,mokka-e,Electric,Automatic,Demonstration,26880,136,2021
9249,volvo,xc60,Electric/Gasoline,Automatic,Demonstration,52950,303,2019
10,nissan,e-nv200,Electric,Automatic,Used,28500,109,2020
10,mazda,cx-30,Electric/Gasoline,Manual,Pre-registered,28870,122,2020
4000,honda,cr-v,Electric/Gasoline,Automatic,Demonstration,29870,184,2020
8000,jeep,renegade,Electric/Gasoline,Automatic,Demonstration,29950,181,2020
10,ford,fiesta,Electric/Gasoline,Manual,Pre-registered,25590,155,2021
98455,bmw,530,Electric/Gasoline,Automatic,Used,29680,184,2017
55823,mercedes-benz,c 350,Electric/Gasoline,Automatic,Used,28220,211,2018
7800,toyota,corolla,Electric/Gasoline,Automatic,Used,21990,122,2019
1500,skoda,enyaq,Electric,Automatic,Demonstration,47890,204,2021
3000,audi,a6,Electric/Gasoline,Automatic,Employee's car,67450,367,2021
1000,others,unknown model,Electric,Automatic,Used,3580,5,2012
81322,lexus,gs 450h,Electric/Gasoline,Automatic,Used,29990,292,2016
2076,ford,fiesta,Electric/Gasoline,Manual,Used,16890,125,2020
2347,ford,fiesta,Electric/Gasoline,Manual,Used,17380,125,2020
300,opel,corsa,Electric,Automatic,Used,24940,136,2021
31654,fiat,500,Electric,Automatic,Used,13750,113,2015
77000,volvo,v60,Electric/Diesel,Automatic,Used,21490,288,2016
2083,ford,mondeo,Electric/Gasoline,Automatic,Used,26990,186,2019
14081,volkswagen,golf,Electric,Automatic,Used,23969,136,2020
8150,volkswagen,golf,Electric,Automatic,Used,23990,136,2020
10,renault,zoe,Electric,Automatic,Pre-registered,24490,136,2020
0,hyundai,ioniq,Electric/Gasoline,Automatic,Pre-registered,24990,141,2021
2500,opel,corsa,Electric,Automatic,Used,25650,136,2021
10,fiat,500,Electric,Automatic,Pre-registered,25989,118,2021
15750,renault,twizy,Electric,Automatic,Used,6990,11,2013
26592,renault,zoe,Electric,Automatic,Used,6880,92,2015
16980,bmw,i3,Electric,Automatic,Used,23900,184,2019
17900,ford,mondeo,Electric/Gasoline,Automatic,Used,24490,188,2019
6800,ford,fiesta,Electric/Gasoline,Manual,Used,18450,125,2020
15,hyundai,i30,Electric/Gasoline,Manual,Pre-registered,22890,159,2020
1000,ford,puma,Electric/Gasoline,Manual,Used,24750,155,2020
9000,volkswagen,id.4,Electric,Automatic,Used,52490,204,2021
25135,nissan,e-nv200,Electric,Automatic,Used,16988,109,2016
48800,bmw,330,Electric/Gasoline,Automatic,Used,29900,252,2018
10969,toyota,prius,Electric/Gasoline,Automatic,Used,29900,122,2018
11000,lexus,ux 250h,Electric/Gasoline,Automatic,Used,26990,179,2019
22972,toyota,camry,Electric/Gasoline,Automatic,Used,28890,218,2019
21471,toyota,camry,Electric/Gasoline,Automatic,Used,29490,218,2019
7000,hyundai,kona,Electric,Automatic,Used,30490,0,2019
100,toyota,camry,Electric/Gasoline,Automatic,Used,31950,218,2019
15909,mazda,cx-30,Electric/Gasoline,Manual,Employee's car,24450,179,2020
20,toyota,corolla,Electric/Gasoline,Automatic,Pre-registered,24490,184,2020
10,opel,mokka,Electric,Automatic,Demonstration,34490,136,2021
5,hyundai,kona,Electric,Automatic,Pre-registered,37880,204,2021
10,lexus,es 300,Electric/Gasoline,Automatic,Used,39800,218,2021
20,toyota,rav 4,Electric/Gasoline,Automatic,Pre-registered,40990,222,2021
22500,renault,zoe,Electric,unknown gear,Used,6500,92,2015
12000,ford,mondeo,Electric/Gasoline,Automatic,Used,31390,190,2019
25,hyundai,i30,Electric/Gasoline,Manual,Pre-registered,23490,120,2021
18200,renault,twizy,Electric,Automatic,Used,4300,11,2012
100,renault,zoe,Electric,Automatic,Pre-registered,41195,69,2020
1900,smart,forfour,Electric,unknown gear,Used,13500,82,2020
97000,mitsubishi,i-miev,Electric,Automatic,Used,4997,48,2011
104000,smart,fortwo,Electric,unknown gear,Used,6000,48,2012
61000,volkswagen,golf,Electric,Automatic,Used,17890,136,2017
4799,land,rover range rover,Electric/Gasoline,Automatic,Used,114900,404,2019
8900,skoda,octavia,Electric/Gasoline,Automatic,Demonstration,34330,204,2021
10,ford,kuga,Electric/Diesel,Manual,Pre-registered,34690,150,2021
100,ford,s-max,Electric/Gasoline,Automatic,Pre-registered,39980,190,2021
6500,audi,a3,Electric/Gasoline,Automatic,Used,39980,204,2021
4212,cupra,formentor,Electric/Gasoline,Automatic,Demonstration,42379,245,2021
5000,cupra,formentor,Electric/Gasoline,Automatic,Demonstration,46615,245,2021
1500,cupra,leon,Electric/Gasoline,Automatic,Demonstration,47315,245,2021
69600,lexus,nx 300,Electric/Gasoline,Automatic,Used,31990,197,2018
14950,ford,mondeo,Electric/Gasoline,Automatic,Employee's car,22990,188,2019
5600,toyota,c-hr,Electric/Gasoline,Automatic,Used,24690,122,2019
3000,smart,fortwo,Electric,Automatic,Demonstration,17480,82,2021
628,mazda,2,Electric/Gasoline,Manual,Demonstration,18480,90,2021
3000,smart,fortwo,Electric,Automatic,Demonstration,18890,0,2021
3000,smart,fortwo,Electric,Automatic,Demonstration,19890,56,2021
30694,renault,twizy,Electric,Automatic,Used,4190,11,2014
36250,toyota,yaris,Electric/Gasoline,Automatic,Used,12480,101,2016
29158,kia,niro,Electric/Gasoline,Automatic,Used,22980,141,2018
59883,ford,mondeo,Electric/Gasoline,Manual,Used,19490,140,2019
8779,seat,mii,Electric,Automatic,Demonstration,17950,83,2020
15,opel,corsa,Electric,Automatic,Used,25990,136,2021
6000,opel,mokka,Electric,Automatic,Used,26550,136,2021
65747,volkswagen,golf,Electric/Gasoline,Automatic,Used,17979,204,2015
60671,toyota,yaris,Electric/Gasoline,Automatic,Used,11480,73,2016
44338,volvo,v60,Electric/Diesel,Automatic,Used,28940,288,2017
3033,ford,puma,Electric/Gasoline,Manual,Employee's car,26490,155,2020
15,subaru,xv,Electric/Gasoline,Automatic,Pre-registered,26990,150,2021
15,kia,ceed sw / cee'd sw,Electric/Gasoline,Automatic,Pre-registered,27990,141,2021
15,nissan,leaf,Electric,Automatic,Pre-registered,28490,218,2021
39923,nissan,leaf,Electric,Automatic,Used,7350,109,2013
49000,renault,zoe,Electric,Automatic,Used,7250,92,2016
52908,renault,zoe,Electric,Automatic,Used,7380,92,2016
25350,audi,a3,Electric/Gasoline,Automatic,Used,22480,204,2018
30246,opel,ampera,Electric/Gasoline,Automatic,Used,22980,75,2018
13450,bmw,i3,Electric,Automatic,Used,24900,184,2019
21450,ford,mondeo,Electric/Gasoline,Automatic,Used,28950,188,2019
632,mercedes-benz,vito,Electric,Automatic,Used,31450,116,2019
6000,suzuki,swace,Electric/Gasoline,Automatic,Demonstration,25985,98,2020
135000,renault,zoe,Electric,Automatic,Used,4880,58,2015
160000,bmw,x5,Electric/Gasoline,Automatic,Used,29799,313,2016
70000,mercedes-benz,glc 350,Electric/Gasoline,Automatic,Used,35999,320,2016
64002,renault,zoe,Electric,Automatic,Used,7770,88,2016
54550,toyota,yaris,Electric/Gasoline,Automatic,Used,11980,101,2017
17975,lexus,unknown model,Electric/Gasoline,Automatic,Used,34980,223,2019
10600,bmw,530,Electric/Gasoline,Automatic,Used,38400,252,2019
9280,toyota,corolla,Electric/Gasoline,Automatic,Employee's car,24680,122,2020
20,toyota,corolla,Electric/Gasoline,Automatic,Pre-registered,24790,122,2020
12486,mazda,cx-30,Electric/Gasoline,Manual,Employee's car,24880,179,2020
4038,mazda,cx-30,Electric/Gasoline,Manual,Employee's car,24890,122,2020
1500,toyota,c-hr,Electric/Gasoline,Automatic,Demonstration,25190,184,2020
2,hyundai,ioniq,Electric/Gasoline,Automatic,Pre-registered,26890,105,2020
13950,lexus,ux 250h,Electric/Gasoline,Automatic,Used,26950,184,2020
50,peugeot,3008,Electric/Gasoline,Automatic,Demonstration,41990,224,2021
3813,cupra,formentor,Electric/Gasoline,Automatic,Used,43500,245,2021
71100,renault,zoe,Electric,Automatic,Used,6975,88,2014
20,hyundai,i30,Electric/Gasoline,Manual,Pre-registered,27990,159,2021
150,hyundai,kona,Electric/Gasoline,Automatic,Demonstration,28990,141,2021
240000,toyota,prius,Electric/Gasoline,Automatic,Used,5900,99,2013
6500,skoda,enyaq,Electric,Automatic,Used,48900,204,2021
4800,skoda,enyaq,Electric,Automatic,Used,48999,204,2021
2850,skoda,enyaq,Electric,Automatic,Used,49222,204,2021
4899,skoda,superb,Electric/Gasoline,Automatic,Used,53900,218,2021
9999,mercedes-benz,e 300,Electric/Diesel,Automatic,Demonstration,63480,194,2021
3000,mercedes-benz,glc 300,Electric/Diesel,Automatic,Demonstration,67880,194,2021
9999,mercedes-benz,e 300,Electric/Diesel,Automatic,Demonstration,74800,194,2021
3000,mercedes-benz,eqc 400,Electric,Automatic,Demonstration,75880,408,2021
41010,ford,mondeo,Electric/Gasoline,Automatic,Used,20480,140,2018
53900,ford,mondeo,Electric/Gasoline,Automatic,Used,19390,188,2019
10000,volkswagen,passat,Electric/Gasoline,Automatic,Demonstration,35440,218,2020
2000,skoda,unknown model,Electric,Automatic,Used,52900,204,2021
2500,bmw,530,Electric/Gasoline,Automatic,Demonstration,60995,272,2021
6500,audi,q5,Electric/Gasoline,Automatic,Demonstration,65900,367,2021
6500,audi,a6,Electric/Gasoline,Automatic,Demonstration,77900,367,2021
37652,renault,zoe,Electric,Automatic,Used,7495,92,2014
29700,renault,zoe,Electric,Automatic,Used,7495,92,2016
7000,volkswagen,id.3,Electric,Automatic,Employee's car,35980,204,2020
4000,cupra,leon,Electric/Gasoline,Automatic,Used,37440,245,2020
2350,volkswagen,golf,Electric/Gasoline,Automatic,Employee's car,37850,150,2020
1649,mazda,3,Electric/Gasoline,Manual,Demonstration,24980,150,2021
10,hyundai,tucson,Electric/Gasoline,Automatic,Used,26990,150,2021
10,nissan,leaf,Electric,Automatic,Pre-registered,28989,218,2021
84000,renault,zoe,Electric,Automatic,Used,4500,58,2013
48313,toyota,rav 4,Electric/Gasoline,Automatic,Used,20800,155,2016
46100,toyota,rav 4,Electric/Gasoline,Automatic,Used,22954,197,2016
10300,toyota,c-hr,Electric/Gasoline,Automatic,Used,21291,98,2019
45080,ford,mondeo,Electric/Gasoline,Automatic,Used,22490,188,2019
7890,suzuki,vitara,Electric/Gasoline,Manual,Used,18799,129,2020
64200,renault,zoe,Electric,Automatic,Used,4400,88,2013
61534,toyota,auris,Electric/Gasoline,Automatic,Used,13860,136,2016
11397,audi,a3,Electric/Gasoline,Automatic,Used,28880,204,2020
1500,nissan,e-nv200,Electric,Automatic,Demonstration,29190,109,2021
10,skoda,superb,Electric/Gasoline,Automatic,Pre-registered,31490,218,2021
10,subaru,forester,Electric/Gasoline,Automatic,Pre-registered,31785,150,2021
3000,opel,mokka,Electric,Automatic,Used,31950,136,2021
21936,smart,fortwo,Electric,Automatic,Used,8790,48,2014
5690,ds,automobiles ds 7 crossback,Electric/Gasoline,Automatic,Demonstration,51900,200,2020
20,fiat,500,Electric/Gasoline,Manual,Pre-registered,13850,69,2021
29350,renault,twizy,Electric,unknown gear,Used,3999,11,2012
110000,renault,zoe,Electric,unknown gear,Used,4900,88,2013
60254,nissan,leaf,Electric,Automatic,Used,11500,109,2016
3053,land,rover range rover sport,Electric/Gasoline,Automatic,Used,92890,404,2019
13800,smart,fortwo,Electric,unknown gear,Used,12320,82,2019
10,toyota,prius+,Electric/Gasoline,Automatic,Used,27490,136,2020
15,toyota,prius+,Electric/Gasoline,Automatic,Used,27990,122,2020
1500,nissan,leaf,Electric,Automatic,Used,27990,218,2020
18325,lexus,ux 250h,Electric/Gasoline,Automatic,Used,29300,184,2020
10,hyundai,kona,Electric/Gasoline,Automatic,Pre-registered,29490,5,2020
100,hyundai,santa fe,Electric/Gasoline,Automatic,Pre-registered,56990,265,2021
6000,toyota,highlander,Electric/Gasoline,Automatic,Employee's car,57590,247,2021
20,toyota,proace,Electric,Automatic,Pre-registered,57990,136,2021
1110,ford,explorer,Electric/Gasoline,Automatic,Demonstration,68980,363,2021
10,lexus,ls 500,Electric/Gasoline,Automatic,Demonstration,109990,359,2021
59384,renault,zoe,Electric,Automatic,Used,6990,58,2014
52457,renault,zoe,Electric,Automatic,Used,7975,92,2015
31500,volkswagen,passat variant,Electric/Gasoline,Automatic,Used,33990,156,2017
25,hyundai,i20,Electric/Gasoline,Manual,Pre-registered,16333,101,2020
4800,smart,fortwo,Electric,unknown gear,Used,16440,82,2020
10,seat,leon,Electric/Gasoline,Automatic,Used,35690,150,2021
10,seat,leon,Electric/Gasoline,Automatic,Used,35980,204,2021
150,hyundai,kona,Electric,Automatic,Demonstration,38490,204,2021
25,hyundai,tucson,Electric/Gasoline,Automatic,Pre-registered,39990,265,2021
1263,cupra,leon,Electric/Gasoline,Automatic,Demonstration,42790,245,2021
80000,renault,zoe,Electric,Automatic,Used,6088,88,2014
57688,volvo,v60,Electric/Diesel,Automatic,Used,22900,220,2017
20109,volkswagen,golf,Electric,Automatic,Used,24850,136,2020
1899,volkswagen,touareg,Electric/Gasoline,Automatic,Demonstration,99333,340,2021
54000,nissan,leaf,Electric,Automatic,Used,8999,109,2015
78000,citroen,c-zero,Electric,Automatic,Used,8490,67,2016
3000,audi,e-tron,Electric,Automatic,Demonstration,119000,476,2021
3500,audi,e-tron,Electric,Automatic,Demonstration,154900,598,2021
70016,mitsubishi,i-miev,Electric,Automatic,Used,7990,48,2014
17593,renault,zoe,Electric,Automatic,Used,7495,92,2017
25000,toyota,rav 4,Electric/Gasoline,Automatic,Used,29990,218,2019
9800,toyota,rav 4,Electric/Gasoline,Automatic,Used,31990,197,2019
18390,audi,q3,Electric/Gasoline,Automatic,Employee's car,38890,150,2020
7000,volkswagen,id.3,Electric,Automatic,Employee's car,39950,204,2020
12510,volkswagen,passat variant,Electric/Gasoline,Automatic,Used,41770,156,2020
5500,seat,leon,Electric/Gasoline,Automatic,Demonstration,33500,204,2021
63290,toyota,rav 4,Electric/Gasoline,Automatic,Used,23645,197,2016
75800,tesla,model s,Electric,Automatic,Used,46960,428,2016
67640,tesla,model s,Electric,Automatic,Used,47957,428,2016
43203,lexus,nx 300,Electric/Gasoline,Automatic,Used,26990,197,2017
1803,hyundai,ioniq,Electric/Gasoline,Automatic,Pre-registered,22991,105,2019
50860,ford,focus,Electric/Gasoline,Manual,Used,18990,125,2020
2602,ford,fiesta,Electric/Gasoline,Manual,Used,19250,155,2020
100,ford,puma,Electric/Gasoline,unknown gear,Pre-registered,19423,125,2020
3780,opel,grandland x,Electric/Gasoline,Automatic,Demonstration,31480,224,2021
12,hyundai,ioniq,Electric/Gasoline,Automatic,Demonstration,31990,141,2021
2000,cupra,leon,Electric/Gasoline,Automatic,Demonstration,32550,150,2021
2000,opel,mokka,Electric,Automatic,Used,32790,136,2021
5,opel,mokka,Electric,Automatic,Demonstration,32940,136,2021
61200,toyota,yaris,Electric/Gasoline,Automatic,Used,11111,75,2017
50,opel,ampera,Electric,Automatic,Demonstration,29790,204,2020
9229,volkswagen,id.3,Electric,Automatic,Used,31923,204,2020
0,hyundai,tucson,Electric/Gasoline,Automatic,Pre-registered,33290,230,2021
3250,cupra,formentor,Electric/Gasoline,Automatic,Pre-registered,37450,245,2021
10,jeep,compass,Electric/Gasoline,Automatic,Demonstration,39489,241,2021
10,cupra,leon,Electric/Gasoline,Automatic,Demonstration,40470,245,2021
137500,toyota,auris,Electric/Gasoline,Automatic,Used,8500,136,2013
64479,volkswagen,up!,Electric,Automatic,Used,8650,82,2013
59300,volkswagen,up!,Electric,Automatic,Used,9160,82,2014
30400,renault,zoe,Electric,Automatic,Used,7999,88,2016
50,fiat,panda,Electric/Gasoline,Manual,Pre-registered,10890,69,2020
20,fiat,500,Electric/Gasoline,Manual,Pre-registered,14650,69,2021
10,renault,zoe,Electric,Automatic,Used,14990,109,2021
65890,renault,zoe,Electric,unknown gear,Used,5800,92,2014
49980,renault,zoe,Electric,unknown gear,Used,5999,88,2015
50000,renault,twizy,Electric,Automatic,Used,3250,12,2016
50400,toyota,yaris,Electric/Gasoline,Automatic,Used,13880,101,2018
51030,toyota,auris,Electric/Gasoline,Automatic,Used,15680,136,2018
57650,toyota,auris,Electric/Gasoline,Automatic,Used,16480,132,2018
14500,toyota,camry,Electric/Gasoline,Automatic,Employee's car,30380,218,2020
15,hyundai,kona,Electric/Gasoline,Automatic,Pre-registered,30490,141,2020
6990,toyota,camry,Electric/Gasoline,Automatic,Employee's car,30890,218,2020
14422,lexus,ux 250h,Electric/Gasoline,Automatic,Employee's car,30980,184,2020
5,jeep,renegade,Electric/Gasoline,Automatic,Demonstration,31900,181,2020
20,toyota,rav 4,Electric/Gasoline,Automatic,Pre-registered,32690,222,2020
10,toyota,yaris,Electric/Gasoline,Automatic,Pre-registered,22900,92,2021
500,hyundai,i20,Electric/Gasoline,Manual,Demonstration,19490,101,2020
1500,seat,tarraco,Electric/Gasoline,Automatic,Demonstration,46390,245,2021
100,hyundai,ioniq,Electric,Automatic,Demonstration,47990,218,2021
116000,mitsubishi,i-miev,Electric,unknown gear,Used,5300,67,2011
406360,toyota,prius+,Electric/Gasoline,Automatic,Used,6800,99,2014
64185,renault,zoe,Electric,Automatic,Used,6688,88,2015
272000,toyota,auris,Electric/Gasoline,Automatic,Used,6700,99,2015
24642,mercedes-benz,c 350,Electric/Gasoline,Automatic,Used,28499,211,2018
1260,nissan,leaf,Electric,Automatic,Demonstration,27900,150,2020
5000,kia,niro,Electric/Gasoline,Automatic,Demonstration,31800,141,2021
4000,kia,soul,Electric,Automatic,Demonstration,37935,204,2021
300,jeep,compass,Electric/Gasoline,Automatic,Demonstration,49990,239,2021
5000,kia,sorento,Electric/Gasoline,Automatic,Demonstration,54900,265,2021
82000,honda,cr-z,Electric/Gasoline,Manual,Used,7700,114,2012
139000,toyota,auris,Electric/Gasoline,Automatic,Used,7800,136,2012
53500,volkswagen,up!,Electric,Automatic,Used,8790,82,2014
96545,toyota,yaris,Electric/Gasoline,Automatic,Used,8900,75,2014
23100,nissan,leaf,Electric,Automatic,Used,8980,109,2014
19144,volvo,v90,Electric/Gasoline,Automatic,Used,43480,320,2017
87700,audi,q7,Electric/Diesel,Automatic,Used,47900,258,2017
5000,toyota,prius,Electric/Gasoline,Automatic,Used,29700,98,2018
6010,ford,puma,Electric/Gasoline,Manual,Employee's car,23980,155,2019
6550,ford,puma,Electric/Gasoline,Manual,Employee's car,24480,155,2019
500,toyota,prius+,Electric/Gasoline,Automatic,Used,25990,136,2021
250,subaru,forester,Electric/Gasoline,Automatic,Demonstration,35990,150,2021
107852,toyota,auris,Electric/Gasoline,Automatic,Used,7199,99,2011
78500,toyota,auris,Electric/Gasoline,Automatic,Used,7300,99,2011
22900,smart,forfour,Electric,Automatic,Used,9840,56,2018
65000,lexus,rx 450h,Electric/Gasoline,Automatic,Used,44990,313,2019
17000,audi,q5,Electric/Gasoline,Automatic,Used,55880,252,2020
63000,audi,e-tron,Electric,Automatic,Used,61880,360,2020
20000,audi,a8,Electric/Gasoline,Automatic,Used,89950,449,2020
3000,mercedes-benz,unknown model,Electric,Automatic,Demonstration,42890,109,2021
23500,renault,zoe,Electric,Automatic,Used,9999,58,2016
13802,hyundai,ioniq,Electric/Gasoline,Automatic,Demonstration,25350,105,2019
3412,hyundai,kona,Electric,Automatic,Used,25990,135,2019
4200,ford,fiesta,Electric/Gasoline,Manual,Employee's car,19950,125,2020
8427,ford,focus,Electric/Gasoline,Manual,Used,20480,125,2020
900,opel,mokka,Electric,Automatic,Used,33540,136,2021
5,seat,leon,Electric/Gasoline,Automatic,Used,33770,204,2021
5,seat,leon,Electric/Gasoline,Automatic,Used,34770,204,2021
10,cupra,formentor,Electric/Gasoline,Automatic,Pre-registered,34950,204,2021
5,hyundai,tucson,Electric/Gasoline,Automatic,Pre-registered,34970,230,2021
0,hyundai,ioniq,Electric,Automatic,Used,35790,136,2021
48,ford,kuga,Electric/Gasoline,Automatic,Demonstration,35790,224,2021
10,skoda,octavia,Electric/Gasoline,Automatic,Pre-registered,35950,245,2021
6,hyundai,kona,Electric,Automatic,Used,35990,136,2021
10,seat,leon,Electric/Gasoline,Automatic,Demonstration,36550,204,2021
53923,renault,twizy,Electric,Automatic,Used,4260,11,2012
44800,toyota,rav 4,Electric/Gasoline,Automatic,Used,26960,197,2016
52427,nissan,leaf,Electric,Automatic,Used,12990,109,2017
33132,nissan,leaf,Electric,Automatic,Used,13490,109,2017
78000,volvo,v60,Electric/Diesel,Automatic,Used,19790,288,2017
1500,ds,automobiles ds 3 crossback,Electric,Automatic,Demonstration,32190,136,2020
6962,audi,a3,Electric/Gasoline,Automatic,Demonstration,32350,204,2020
1293,volvo,xc40,Electric/Gasoline,Automatic,Used,44990,261,2021
9999,volkswagen,id.4,Electric,Automatic,Demonstration,45555,204,2021
4900,peugeot,3008,Electric/Gasoline,Automatic,Demonstration,48770,299,2021
1,ds,automobiles ds 7 crossback,Electric/Gasoline,Automatic,Demonstration,52990,200,2021
